iter	Passed	Remaining
431	1614	2122
432	1618	2119
433	1621	2115
434	1625	2111
435	1628	2106
436	1634	2105
437	1637	2101
438	1641	2097
439	1644	2092
440	1647	2088
441	1651	2084
442	1654	2080
443	1657	2075
444	1661	2071
445	1665	2068
446	1668	2064
447	1672	2060
448	1676	2056
449	1679	2052
450	1682	2048
451	1686	2044
452	1690	2040
453	1693	2036
454	1696	2032
455	1700	2029
456	1705	2026
457	1708	2022
458	1711	2017
459	1715	2013
460	1718	2008
461	1721	2004
462	1724	2000
463	1728	1996
464	1732	1992
465	1735	1989
466	1739	1985
467	1742	1980
468	1745	1976
469	1749	1972
470	1752	1968
471	1755	1963
472	1758	1959
473	1762	1955
474	1766	1952
475	1770	1949
476	1773	1944
477	1777	1940
478	1780	1936
479	1783	1932
480	1786	1928
481	1790	1924
482	1793	1920
483	1797	1916
484	1801	1912
485	1804	1908
486	1807	1903
487	1810	1899
488	1813	1895
489	1817	1891
490	1820	1887
491	1823	1883
492	1826	1878
493	1829	1874
494	1834	1871
495	1838	1868
496	1842	1864
497	1845	1860
498	1848	1856
499	1851	1851
500	1854	1847
501	1857	1842
502	1860	1838
503	1864	1834
504	1867	1830
505	1871	1827
506	1874	1823
507	1877	1818
508	1881	1814
509	1883	1810
510	1887	1806
511	1890	1802
512	1894	1798
513	1898	1795
514	1902	1791
515	1906	1787
516	1909	1783
517	1912	1779
518	1916	1775
519	1919	1771
520	1922	1767
521	1925	1763
522	1929	1759
523	1932	1755
524	1935	1750
525	1939	1747
526	1943	1744
527	1946	1740
528	1950	1736
529	1953	1732
530	1956	1728
531	1959	1724
532	1963	1720
533	1966	1715
534	1969	1711
535	1973	1708
536	1977	1704
537	1980	1700
538	1984	1697
539	1987	1692
540	1990	1689
541	1993	1684
542	1997	1681
543	2000	1677
544	2004	1673
545	2007	1668
546	2012	1666
547	2015	1662
548	2018	1657
549	2021	1654
550	2025	1650
551	2028	1645
552	2031	1641
553	2034	1638
554	2037	1633
555	2041	1630
556	2045	1626
557	2048	1622
558	2051	1618
559	2054	1614
560	2057	1610
561	2061	1606
562	2064	1602
563	2067	1598
564	2070	1594
565	2073	1590
566	2076	1585
567	2081	1583
568	2085	1579
569	2088	1575
570	2091	1571
571	2095	1567
572	2098	1563
573	2100	1559
574	2103	1554
575	2107	1551
576	2110	1547
577	2113	1543
578	2117	1539
579	2120	1535
580	2124	1532
581	2127	1528
582	2130	1524
583	2133	1519
584	2136	1515
585	2139	1511
586	2143	1507
587	2146	1504
588	2150	1500
589	2153	1496
590	2156	1492
591	2159	1488
592	2164	1485
593	2168	1482
594	2171	1478
595	2175	1474
596	2178	1470
597	2182	1466
598	2185	1463
599	2189	1459
600	2194	1456
601	2198	1453
602	2203	1450
603	2207	1447
604	2211	1443
605	2215	1440
606	2219	1436
607	2222	1433
608	2226	1429
609	2230	1426
610	2234	1422
611	2238	1419
612	2242	1415
613	2246	1412
614	2250	1409
615	2255	1405
616	2258	1402
617	2262	1398
618	2265	1394
619	2269	1390
620	2273	1387
621	2276	1383
622	2280	1380
623	2284	1376
624	2288	1373
625	2293	1370
626	2297	1366
627	2302	1363
628	2306	1360
629	2310	1356
630	2314	1353
631	2317	1349
632	2321	1346
633	2325	1342
634	2329	1338
635	2333	1335
636	2336	1331
637	2342	1328
638	2346	1325
639	2350	1322
640	2353	1318
641	2357	1314
642	2360	1310
643	2364	1306
644	2367	1303
645	2371	1299
646	2374	1295
647	2385	1296
648	2391	1293
649	2396	1290
650	2400	1286
651	2405	1283
652	2408	1280
653	2413	1276
654	2417	1273
655	2421	1269
656	2425	1266
657	2429	1262
658	2433	1259
659	2437	1255
660	2444	1253
661	2447	1249
662	2451	1246
663	2456	1243
664	2461	1239
665	2465	1236
666	2472	1234
667	2478	1231
668	2483	1228
669	2487	1225
670	2492	1222
671	2496	1218
672	2500	1214
673	2505	1211
674	2509	1208
675	2512	1204
676	2516	1200
677	2521	1197
678	2525	1193
679	2529	1190
680	2533	1186
681	2538	1183
682	2542	1179
683	2545	1175
684	2549	1172
685	2555	1169
686	2559	1166
687	2565	1163
688	2568	1159
689	2572	1155
690	2577	1152
691	2581	1149
692	2585	1145
693	2589	1141
694	2594	1138
695	2598	1134
696	2602	1131
697	2606	1127
698	2610	1123
699	2614	1120
700	2617	1116
701	2621	1112
702	2625	1109
703	2632	1106
704	2638	1103
705	2643	1100
706	2648	1097
707	2652	1094
708	2657	1090
709	2661	1087
710	2665	1083
711	2669	1079
712	2673	1076
713	2679	1073
714	2683	1069
715	2688	1066
716	2692	1062
717	2695	1058
718	2700	1055
719	2706	1052
720	2710	1048
721	2713	1044
722	2717	1041
723	2720	1037
724	2724	1033
725	2729	1030
726	2732	1026
727	2736	1022
728	2740	1018
729	2744	1014
730	2747	1011
731	2751	1007
732	2754	1003
733	2759	999
734	2763	996
735	2767	992
736	2771	988
737	2776	985
738	2780	982
739	2784	978
740	2787	974
741	2791	970
742	2795	966
743	2799	963
744	2803	959
745	2807	955
746	2810	951
747	2814	948
