iter	RMSE
463	0.6319726522
464	0.6319315705
465	0.6318685595
466	0.6318273407
467	0.6317823994
468	0.6317321725
469	0.6316861989
470	0.6316214195
471	0.6315827505
472	0.6315269737
473	0.63149164
474	0.631469878
475	0.6314122427
476	0.6313479444
477	0.6313181307
478	0.6312427829
479	0.6311713457
480	0.631124893
481	0.6310944206
482	0.631060529
483	0.6310149965
484	0.630916084
485	0.6308743605
486	0.6308409951
487	0.6307513344
488	0.6306839968
489	0.6306331653
490	0.6305806418
491	0.6305405839
492	0.6304693128
493	0.6304313587
494	0.6304115524
495	0.6303765744
496	0.6303546823
497	0.630289955
498	0.6302514069
499	0.6302034391
500	0.6301491626
501	0.6301036785
502	0.630035196
503	0.629985207
504	0.6299528517
505	0.6299152738
506	0.6298839959
507	0.6298285505
508	0.6297749009
509	0.6297301832
510	0.6297027709
511	0.6296560015
512	0.6296171186
513	0.629576712
514	0.6295560547
515	0.6294822202
516	0.6294270613
517	0.6293962687
518	0.6293682719
519	0.6293082336
520	0.6292570215
521	0.6291918424
522	0.6291284118
523	0.6291024402
524	0.629051558
525	0.6290080295
526	0.6289640223
527	0.6289292959
528	0.6288902652
529	0.6288503955
530	0.6287884879
531	0.6287272682
532	0.6286987174
533	0.6286710604
534	0.6286244444
535	0.6285740807
536	0.6285357423
537	0.6285007338
538	0.6284546851
539	0.6284058124
540	0.6283555266
541	0.6282847961
542	0.6282559252
543	0.6281787827
544	0.6281083157
545	0.6280601634
546	0.6280173519
547	0.6279906427
548	0.6279585701
549	0.6279162528
550	0.627885355
551	0.6278430184
552	0.6277911324
553	0.6277453671
554	0.6277057303
555	0.6276634389
556	0.6275945505
557	0.6275504435
558	0.6275261057
559	0.6274729322
560	0.6274248767
561	0.6273887534
562	0.6273276105
563	0.6272747994
564	0.6272422591
565	0.6272002517
566	0.627156678
567	0.6270759996
568	0.6270469068
569	0.6270058979
570	0.6269599665
571	0.6269035842
572	0.6268573444
573	0.6268193421
574	0.6267974849
575	0.6267232434
576	0.6266678449
577	0.626629265
578	0.6266087316
579	0.6265626215
580	0.6264948784
581	0.6264743244
582	0.6264490006
583	0.6263920597
584	0.626349363
585	0.6262918719
586	0.6262323047
587	0.6262111954
588	0.6261726568
589	0.6261253643
590	0.6260687935
591	0.6260334635
592	0.6260107726
593	0.6259671181
594	0.6259138282
595	0.6258831689
596	0.6258525226
597	0.6258107965
598	0.6257349987
599	0.6256732784
600	0.6256530169
601	0.6256084632
602	0.6255633139
603	0.6255283454
604	0.6254763883
605	0.6254165821
606	0.6253741138
607	0.6253358359
608	0.6252916244
609	0.6252513765
610	0.6252140979
611	0.6251996606
612	0.6251782955
613	0.6251441137
614	0.6250947225
615	0.6250349608
616	0.6249912419
617	0.6249393153
618	0.6249008468
619	0.6248560523
620	0.6247860317
621	0.6247548532
622	0.6247070167
623	0.6246414769
624	0.6246298507
625	0.6245823318
626	0.6245604809
627	0.624528801
628	0.6244714474
629	0.6244192386
630	0.624407093
631	0.6243606628
632	0.6243111732
633	0.6242680663
634	0.6242215405
635	0.6242026566
636	0.6241789242
637	0.6241683872
638	0.6241074232
639	0.6240428058
640	0.6240238788
641	0.6240011486
642	0.6239417223
643	0.6239222949
644	0.6238974754
645	0.6238482808
646	0.6237959518
647	0.623740062
648	0.6237035813
649	0.6236884258
650	0.6236661242
651	0.623623491
652	0.6235957417
653	0.6235393481
654	0.6234990728
655	0.6234768023
656	0.6234412326
657	0.6234008818
658	0.6233376951
659	0.6233020218
660	0.6232895922
661	0.6232368256
662	0.6232210578
663	0.6231952711
664	0.6231658274
665	0.623127065
666	0.6230970627
667	0.6230572085
668	0.6230124034
669	0.6229933288
670	0.6229692389
671	0.6229233263
672	0.6228793
673	0.6228209739
674	0.622776729
675	0.6227470123
676	0.622701591
677	0.6226634318
678	0.6226329377
679	0.622591051
680	0.6225684581
681	0.6225347202
682	0.6225045707
683	0.6224380533
684	0.6224052766
685	0.6223747834
686	0.6223439615
687	0.6222986762
688	0.6222850925
689	0.6222598926
690	0.6222426741
691	0.6221985072
692	0.6221404146
693	0.6221198606
694	0.6220793852
695	0.6220517647
696	0.6220026553
697	0.6219854885
698	0.6219402206
699	0.6218962361
700	0.6218393971
701	0.6218141396
702	0.6217882178
703	0.6217511924
704	0.6216958714
705	0.6216638453
706	0.6216376104
707	0.6216018609
708	0.6215769674
709	0.6215429423
710	0.6215019868
711	0.6214774892
712	0.6214220644
713	0.621388069
714	0.6213514576
715	0.6212665178
716	0.6212322346
717	0.6211811882
718	0.6211441407
719	0.6211214295
720	0.6210871919
721	0.6210679979
722	0.6210195959
723	0.6209728544
724	0.620950774
725	0.6209287783
726	0.6209076521
727	0.6208898718
728	0.6208520659
729	0.6208220935
730	0.6207835034
731	0.620771764
732	0.6207307391
733	0.6207142127
734	0.6206865303
735	0.6206525686
736	0.6205923264
737	0.6205665189
738	0.62054919
739	0.6205166974
740	0.6205045267
741	0.6204744034
742	0.6204131917
743	0.6203881748
744	0.620344774
745	0.6203078796
746	0.620282592
747	0.6202468546
748	0.6202211865
749	0.6201390701
750	0.6201096284
751	0.6200453425
752	0.6199966555
753	0.6199473636
754	0.6199278395
755	0.619894444
756	0.6198507421
757	0.6198023871
758	0.6197680174
759	0.6197257014
760	0.6196800177
761	0.6196554981
762	0.6196247885
763	0.6195741944
764	0.6195113605
765	0.6194674564
766	0.6194374401
767	0.6194221553
768	0.6194072404
769	0.6193952629
770	0.619355971
771	0.6193404789
772	0.6193099775
773	0.6192826925
774	0.6192416997
775	0.6191768982
776	0.619149632
777	0.6191289631
778	0.6190846379
779	0.6190706181
780	0.6190413628
781	0.6190210928
782	0.6189768705
783	0.6189382084
784	0.6188930919
785	0.6188442198
786	0.6188251059
787	0.6188033112
788	0.6187675849
789	0.6187262197
790	0.6186894865
791	0.6186628647
792	0.6186444404
793	0.6186062084
794	0.6185797803
795	0.6185632536
796	0.6185263164
797	0.6185068966
798	0.6184688971
799	0.6184353769
800	0.6183991949
801	0.6183721055
802	0.6183438955
803	0.6183161548
804	0.6183008205
805	0.618285447
806	0.6182678654
807	0.6182449637
808	0.6182164539
809	0.6181921809
810	0.6181676139
811	0.6181501247
812	0.6180957332
813	0.6180617758
814	0.6180288133
815	0.6180081739
816	0.6179525496
817	0.6179354908
818	0.6179096186
819	0.6178673769
820	0.6178324384
821	0.617804638
822	0.6177767435
823	0.617754566
824	0.6177091286
825	0.6176803958
826	0.6176598131
827	0.6176292387
828	0.6175689262
829	0.6175623003
830	0.6175310925
831	0.6174876595
832	0.6174687267
833	0.6174314282
834	0.6174078238
835	0.617362178
836	0.6173351955
837	0.6173088152
838	0.6172860513
839	0.6172443488
840	0.6171923778
841	0.6171521116
842	0.6171284909
843	0.6171055119
844	0.6170773735
845	0.6170064432
846	0.6169738393
847	0.616932618
848	0.6169126808
849	0.6168928902
850	0.616866877
851	0.61684282
852	0.6168179187
853	0.6167820321
854	0.6167405237
855	0.6167039585
856	0.6166771031
857	0.616658251
858	0.6166445278
859	0.6166046644
860	0.61658292
861	0.6165483635
862	0.616505195
863	0.616431934
864	0.616409363
865	0.6163713126
866	0.6163546131
867	0.6163306763
868	0.61627007
869	0.6162331423
870	0.6162025362
871	0.6161680278
872	0.6161252113
873	0.6160805895
874	0.6160687496
875	0.6160370006
876	0.6160311736
877	0.6160010186
878	0.6159536931
879	0.6159058246
880	0.6158494045
881	0.6158178662
882	0.6157688062
883	0.6157439547
884	0.615722818
885	0.6156991095
886	0.6156783094
887	0.6156420253
888	0.6155961779
889	0.6155815875
890	0.6155572364
891	0.6155184346
892	0.6154865393
893	0.6154615982
894	0.6154106199
895	0.6153918613
896	0.6153526886
897	0.6153304084
898	0.6152738628
899	0.6152408522
900	0.6152028937
901	0.6151773491
902	0.6151248875
903	0.6151059912
904	0.6151059519
905	0.6150785307
906	0.6150602214
907	0.6150183985
908	0.6149944861
909	0.6149487188
910	0.6149106413
911	0.6148752348
912	0.6148301061
913	0.6148045456
914	0.6147780245
915	0.6147581632
916	0.6147359168
917	0.6147119028
918	0.6146778954
919	0.6146494811
920	0.6146155128
921	0.6145742826
922	0.6145106436
923	0.6144896175
924	0.6144540023
925	0.6144332498
926	0.6143969226
927	0.6143711727
928	0.6143355388
929	0.6142848441
930	0.6142564367
931	0.6142184214
932	0.6141562244
933	0.6141205936
934	0.6140631022
935	0.6140449418
936	0.6139955577
937	0.6139624783
938	0.6139275049
939	0.6138992736
940	0.6138634902
941	0.6138380825
942	0.6138263014
943	0.6138122247
944	0.6137754873
945	0.6137544953
946	0.6137209044
947	0.6137103007
948	0.6136781311
949	0.6136368945
950	0.6136154818
951	0.6135555306
952	0.6135164036
953	0.6134883491
954	0.6134606445
955	0.6134357572
956	0.613389238
957	0.6133562666
958	0.6133334614
959	0.6133237853
960	0.6132902089
961	0.6132772143
962	0.613261377
963	0.6132251947
964	0.6132106692
965	0.6131748196
966	0.6131500661
967	0.6131405544
968	0.6131156593
969	0.6130821246
970	0.6130471028
971	0.6130017056
972	0.612973017
973	0.6129574097
974	0.6129408861
975	0.6129327546
976	0.6129207992
977	0.6129066368
978	0.6128785294
979	0.6128456929
980	0.6128174991
981	0.6127912382
982	0.612759109
983	0.6127372206
984	0.6127136034
985	0.6126864107
986	0.6126670742
987	0.6126187292
988	0.6126062634
989	0.6125785805
990	0.6125541048
991	0.6125380024
992	0.6125184721
993	0.6124671076
994	0.6124410273
995	0.6124198493
996	0.6123847597
997	0.6123447348
998	0.6122953813
999	0.612272645
