city,Total.1,Owned ,Permanent,No exclusive room,MoreThan2BedRooms
BANGLORE,69.76009557945042,59.15985663082438,83.46917562724013,11.776463560334527,50.42783751493429
CHENNAI,80.05625,45.795625,94.09375,2.2725,59.238125000000004
DELHI,63.36543046357616,68.29549668874172,94.68781456953643,1.417615894039735,67.06807947019868
HYDERABAD,79.83962264150944,49.71320754716981,90.91761006289308,2.792452830188679,67.39811320754717
KOLKATA,65.8082191780822,52.17191780821918,93.69109589041096,4.517808219178082,52.3986301369863
MUMBAI,74.23636363636363,64.13636363636364,94.39772727272727,8.215909090909092,29.55454545454546
